Library,Reads,Inline.Index.Excluded,Quality.Excluded,Regex.Excluded,UMI.Repeats,,
tp0_na-na_e0_S1_R1_001.fastq.gz,404381,24208,5176,184436,25647,,6%
Library,Reads,Inline.Index.Excluded,Quality.Excluded,Regex.Excluded,UMI.Repeats,,
tp0_na-na_e2_S2_R1_001.fastq.gz,531025,4791,7067,272713,36539,,1%
Library,Reads,Inline.Index.Excluded,Quality.Excluded,Regex.Excluded,UMI.Repeats,,
tp0_na-na_e4_S3_R1_001.fastq.gz,521217,385,8431,244140,44214,,0%
Library,Reads,Inline.Index.Excluded,Quality.Excluded,Regex.Excluded,UMI.Repeats,,
tp0_na-na_e6_S4_R1_001.fastq.gz,255468,6030,3173,114022,11580,,2%
Library,Reads,Inline.Index.Excluded,Quality.Excluded,Regex.Excluded,UMI.Repeats,,
tp0_na-na_e8_S5_R1_001.fastq.gz,480803,2309,3960,212068,40573,,0%
Library,Reads,Inline.Index.Excluded,Quality.Excluded,Regex.Excluded,UMI.Repeats,,
tp0_na-na_e10_S6_R1_001.fastq.gz,380421,4739,7327,170612,25063,,1%
Library,Reads,Inline.Index.Excluded,Quality.Excluded,Regex.Excluded,UMI.Repeats,,
tp1_30-1_e0_S7_R1_001.fastq.gz,456576,462,4591,243163,31453,,0%
Library,Reads,Inline.Index.Excluded,Quality.Excluded,Regex.Excluded,UMI.Repeats,,
tp1_30-1_e2_S8_R1_001.fastq.gz,600348,323,7823,294977,46712,,0%
Library,Reads,Inline.Index.Excluded,Quality.Excluded,Regex.Excluded,UMI.Repeats,,
tp1_30-1_e4_S9_R1_001.fastq.gz,133084,172,1453,101808,2006,,0%
Library,Reads,Inline.Index.Excluded,Quality.Excluded,Regex.Excluded,UMI.Repeats,,
tp1_30-1_e6_S10_R1_001.fastq.gz,470697,9810,3636,238123,31053,,2%
Library,Reads,Inline.Index.Excluded,Quality.Excluded,Regex.Excluded,UMI.Repeats,,
tp1_30-1_e8_S11_R1_001.fastq.gz,347284,15339,3905,185163,15922,,4%
Library,Reads,Inline.Index.Excluded,Quality.Excluded,Regex.Excluded,UMI.Repeats,,
tp1_30-1_e10_Scat_R1_001.fastq.gz,320181,35539,6731,113108,23884,,10%
Library,Reads,Inline.Index.Excluded,Quality.Excluded,Regex.Excluded,UMI.Repeats,,
tp1_30-2_e0_S13_R1_001.fastq.gz,552537,380,4331,282859,37889,,0%
Library,Reads,Inline.Index.Excluded,Quality.Excluded,Regex.Excluded,UMI.Repeats,,
tp1_30-2_e2_S14_R1_001.fastq.gz,573788,285,6508,301278,37447,,0%
Library,Reads,Inline.Index.Excluded,Quality.Excluded,Regex.Excluded,UMI.Repeats,,
tp1_30-2_e4_S15_R1_001.fastq.gz,590002,377,8067,312508,41332,,0%
Library,Reads,Inline.Index.Excluded,Quality.Excluded,Regex.Excluded,UMI.Repeats,,
tp1_30-2_e6_S16_R1_001.fastq.gz,444366,8774,2848,220479,28843,,2%
Library,Reads,Inline.Index.Excluded,Quality.Excluded,Regex.Excluded,UMI.Repeats,,
tp1_30-2_e8_S17_R1_001.fastq.gz,489986,55049,3134,230174,65930,,10%
Library,Reads,Inline.Index.Excluded,Quality.Excluded,Regex.Excluded,UMI.Repeats,,
tp1_30-2_e10_S18_R1_001.fastq.gz,519675,5642,7217,262681,38965,,1%
Library,Reads,Inline.Index.Excluded,Quality.Excluded,Regex.Excluded,UMI.Repeats,,
tp1_37-1_e0_S19_R1_001.fastq.gz,506845,161,3874,246342,36535,,0%
Library,Reads,Inline.Index.Excluded,Quality.Excluded,Regex.Excluded,UMI.Repeats,,
tp1_37-1_e2_S20_R1_001.fastq.gz,560158,376,7575,292179,37225,,0%
Library,Reads,Inline.Index.Excluded,Quality.Excluded,Regex.Excluded,UMI.Repeats,,
tp1_37-1_e4_S21_R1_001.fastq.gz,336544,207,4390,193562,12375,,0%
Library,Reads,Inline.Index.Excluded,Quality.Excluded,Regex.Excluded,UMI.Repeats,,
tp1_37-1_e6_S22_R1_001.fastq.gz,492805,9493,3435,242606,36156,,2%
Library,Reads,Inline.Index.Excluded,Quality.Excluded,Regex.Excluded,UMI.Repeats,,
tp1_37-1_e8_S23_R1_001.fastq.gz,514730,2444,3820,252246,38139,,0%
Library,Reads,Inline.Index.Excluded,Quality.Excluded,Regex.Excluded,UMI.Repeats,,
tp1_37-1_e10_S24_R1_001.fastq.gz,553349,6540,6952,282613,43045,,1%
Library,Reads,Inline.Index.Excluded,Quality.Excluded,Regex.Excluded,UMI.Repeats,,
tp1_37-2_e0_S25_R1_001.fastq.gz,557578,156,4484,276271,42301,,0%
Library,Reads,Inline.Index.Excluded,Quality.Excluded,Regex.Excluded,UMI.Repeats,,
tp1_37-2_e2_S26_R1_001.fastq.gz,593696,281,6771,294096,46237,,0%
Library,Reads,Inline.Index.Excluded,Quality.Excluded,Regex.Excluded,UMI.Repeats,,
tp1_37-2_e4_S27_R1_001.fastq.gz,594784,420,7941,313857,44574,,0%
Library,Reads,Inline.Index.Excluded,Quality.Excluded,Regex.Excluded,UMI.Repeats,,
tp1_37-2_e6_S28_R1_001.fastq.gz,469805,9147,3045,232382,34101,,2%
Library,Reads,Inline.Index.Excluded,Quality.Excluded,Regex.Excluded,UMI.Repeats,,
tp1_37-2_e8_S29_R1_001.fastq.gz,560484,2668,3641,272388,46326,,0%
Library,Reads,Inline.Index.Excluded,Quality.Excluded,Regex.Excluded,UMI.Repeats,,
tp1_37-2_e10_S30_R1_001.fastq.gz,498661,5562,7378,235594,37941,,1%
Library,Reads,Inline.Index.Excluded,Quality.Excluded,Regex.Excluded,UMI.Repeats,,
tp1_AA-1_e0_S31_R1_001.fastq.gz,530357,157,4066,261170,39343,,0%
Library,Reads,Inline.Index.Excluded,Quality.Excluded,Regex.Excluded,UMI.Repeats,,
tp1_AA-1_e2_S32_R1_001.fastq.gz,607325,303,7389,317741,45002,,0%
Library,Reads,Inline.Index.Excluded,Quality.Excluded,Regex.Excluded,UMI.Repeats,,
tp1_AA-1_e4_S33_R1_001.fastq.gz,330584,238,4151,192758,13264,,0%
Library,Reads,Inline.Index.Excluded,Quality.Excluded,Regex.Excluded,UMI.Repeats,,
tp1_AA-1_e6_S34_R1_001.fastq.gz,505429,9911,3442,260584,38245,,2%
Library,Reads,Inline.Index.Excluded,Quality.Excluded,Regex.Excluded,UMI.Repeats,,
tp1_AA-1_e8_S35_R1_001.fastq.gz,505699,2297,3783,241930,41233,,0%
Library,Reads,Inline.Index.Excluded,Quality.Excluded,Regex.Excluded,UMI.Repeats,,
tp1_AA-1_e10_S36_R1_001.fastq.gz,539765,6043,7642,261816,44036,,1%
Library,Reads,Inline.Index.Excluded,Quality.Excluded,Regex.Excluded,UMI.Repeats,,
tp1_AA-2_e0_S37_R1_001.fastq.gz,456438,154,3668,217850,29933,,0%
Library,Reads,Inline.Index.Excluded,Quality.Excluded,Regex.Excluded,UMI.Repeats,,
tp1_AA-2_e2_S38_R1_001.fastq.gz,470747,218,5011,208005,36448,,0%
Library,Reads,Inline.Index.Excluded,Quality.Excluded,Regex.Excluded,UMI.Repeats,,
tp1_AA-2_e4_S39_R1_001.fastq.gz,474363,320,6039,211422,39968,,0%
Library,Reads,Inline.Index.Excluded,Quality.Excluded,Regex.Excluded,UMI.Repeats,,
tp1_AA-2_e6_S40_R1_001.fastq.gz,368526,7543,2535,161014,27378,,2%
Library,Reads,Inline.Index.Excluded,Quality.Excluded,Regex.Excluded,UMI.Repeats,,
tp1_AA-2_e8_S41_R1_001.fastq.gz,441986,2188,2788,203928,33516,,0%
Library,Reads,Inline.Index.Excluded,Quality.Excluded,Regex.Excluded,UMI.Repeats,,
