,evocode,LP,ploidy,evoEnvt,evoEnvt-ploidy,evoEnvt-ploidy-LP,30-1000,37-1000,AA-1000,RT-1000,NaCl-1000,principal component 1,principal component 2,Epoch
0,p8-F1,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.02744240520904501,0.027125936382343497,-0.02113074253501154,0.04328282707064973,0.05586687717103661,2.085336416393509,-1.3788182590540965,1000.0
1,p8-C2,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.02816823385599581,0.0238884382642717,0.044098175891472066,0.03539446422935761,0.05262780594199498,1.6298431586161406,-0.8359037229980298,1000.0
2,p7-D10,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.028460383570139056,0.03251224183430948,-0.005221085096142616,0.09903142322843553,0.07252090497578965,1.8119728647537288,-2.4997436049175983,1000.0
3,p8-D1,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.03233002374571514,0.03572650894075495,0.02170216983522118,0.09714749756164803,0.053687328802409506,1.9317187311141335,-2.09536044725334,1000.0
4,p8-C4,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.028849272745980065,0.02730794612822141,0.028678366015072475,0.05018315911769733,0.05513090722421433,1.7279696089442829,-1.235614792874369,1000.0
5,p8-D3,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.01854665005589874,0.033112946192792606,0.031024785257617343,0.06120301756784939,0.024814985872490272,2.893982145443864,-0.8553888924652655,1000.0
6,p8-F2,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.0499476981738834,0.04132817854091238,0.03145881028394931,0.10784073666517877,0.10288084934837446,0.020325999880567453,-3.342773403646593,1000.0
7,p7-G12,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.031450009813198836,0.03621776852359741,0.10572278083546752,0.020191586064825393,0.06153710372256545,0.704190254869801,-0.7447492786244319,1000.0
8,p7-G10,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.05956327263432061,0.046012375955885115,0.04575144531795157,0.08743642427276824,0.12063159016434796,-1.0144148903873351,-3.476334623568545,1000.0
9,p7-C10,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.043847170372864674,0.03398620524853343,0.024056200971210823,0.027476812807027972,0.07824176364559204,0.4818789538524863,-1.6089337041555363,1000.0
10,p7-E12,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.030664659112556995,0.031923426266678226,0.021806228721841465,0.04489271236308158,0.05365158380988953,1.7039970200380548,-1.2708326211229446,1000.0
11,p8-E3,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.016601031457560044,0.026338307938154785,0.024019395227273845,-0.0433107373446255,0.037430733283757706,2.1166062676460102,0.501777724276321,1000.0
12,p7-F9,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.03134185887930958,0.036839571942064664,-0.003275976471677879,0.10370195609992955,0.05514787160855471,2.146887955183513,-2.348692423611344,1000.0
13,p8-C3,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.012066281389904432,0.02845501223291099,0.01801086974676299,0.06642898147727457,0.031303350312061065,3.1039102037175645,-0.9665781481990037,1000.0
14,p8-E1,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.02597977061878189,0.024530684021300146,0.026232570133463473,-0.00022925484466038148,0.044606776145068715,1.8354510647669866,-0.26928036231854807,1000.0
15,p8-G1,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.04117455317688172,0.029721560010009654,0.03699952184034545,0.049775712914508524,0.07293522006226458,0.7612157317513055,-1.660833925661998,1000.0
16,p8-G3,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.044628053386837285,0.040861648741083674,-0.006059586390244157,0.09326712469653117,0.0732352479111405,1.1563181659022057,-2.730370787520603,1000.0
17,p8-B2,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.07666629795039709,0.07309816630479218,0.13302468993078984,0.05023032458002959,0.1114428413012371,-2.343581767398778,-3.0199377090848083,1000.0
18,p8-D2,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.03996008032164466,0.0366176744304471,0.02125630829042824,0.006455515940166317,0.07509303108949879,0.5918306026394373,-1.2865465424547335,1000.0
