,evocode,LP,ploidy,evoEnvt,evoEnvt-ploidy,evoEnvt-ploidy-LP,30-400,37-400,AA-400,RT-400,NaCl-400,principal component 1,principal component 2,Epoch
0,p8-F1,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.015789667388717288,0.012666921518604431,0.0009305332079760356,0.03337155995317862,0.039981293537597856,-1.7400368514504534,-0.9853346135646006,400.0
1,p8-C2,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.018983289532965207,0.008536147255589335,0.010986399460400358,0.01655554380170688,0.04233662723822587,-1.3040613785355928,-0.7372110295660248,400.0
2,p7-D10,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.032710628732843555,0.021434808841436448,0.006187901753979201,0.06075916499117155,0.06655856604181709,-0.7190725658432399,-1.8701781194471758,400.0
3,p8-D1,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.015400463943442562,0.01839033244913463,0.008437456742071369,0.027230813262773972,0.030106726071986636,-1.7662451307178597,-0.7956208846618329,400.0
4,p8-C4,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.00831522321207336,0.00833106197417294,0.06295580965056546,0.009157280481297806,0.022736886021128486,-1.6848500792588865,0.11107929282694042,400.0
5,p8-D3,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.010027938300363855,0.007397458952830684,0.0029620943942057385,0.021527437960859236,0.02459291054527209,-2.1680009015844774,-0.440784756639769,400.0
6,p8-F2,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.009839986502543684,0.006080283566249079,-0.0009136467817467029,0.024329236029403026,0.04469258312241525,-1.8682664385393415,-0.9168198556777669,400.0
7,p7-G12,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.03398337675164687,0.012705901700603744,0.026546715028388734,0.02229990132102739,0.06483398153745228,-0.13747473481079756,-1.2033609017327886,400.0
8,p7-G10,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.025029609650391325,0.010452087890924689,0.006190790313184794,0.04268266038641691,0.05874032024084238,-1.0717319421625195,-1.3459388335622275,400.0
9,p7-C10,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.017244783393780508,0.006345456127005012,0.004865411744997761,0.013835713830968339,0.03785685369423691,-1.4941862295806179,-0.6194718994498686,400.0
10,p7-E12,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.02291362939855309,0.010050627619803233,0.003698497517079824,0.02132648030951767,0.050996461467644555,-1.0650575527019364,-1.0404035908955336,400.0
11,p8-E3,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.017803904829480133,0.013620121797915526,0.043954268055569914,0.008916900087602429,0.026637595916032524,-1.279629729286142,-0.20109132234537236,400.0
12,p7-F9,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.023269644765885056,0.01877105309647286,-0.01304580688870809,0.033923849164691725,0.04679831632238056,-1.3355290974396232,-1.3588279891370902,400.0
13,p8-C3,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.01758143015138562,0.004803286025950747,0.007869616083936857,0.010985253595909081,0.04074097597747825,-1.3797771867046502,-0.6055055548891417,400.0
14,p8-E1,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.019734952282699475,0.006860980845421372,0.012852700011636402,0.01699182942868875,0.042544498846467015,-1.2727984114256499,-0.688913529686046,400.0
15,p8-G1,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.026023493283704763,0.00823287169382993,0.0010075056841125076,0.015369071499448538,0.0552167812452417,-0.806395526442407,-1.0600267240677703,400.0
16,p8-G3,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.035413936931064864,0.02304429404091011,0.02307076393231071,0.11022846988459915,0.061503709221141865,-1.1836504393834613,-1.996386573523026,400.0
17,p8-B2,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.03525040476017012,0.018354459462818322,0.09518070621711855,0.02722920736246942,0.060183762989665324,0.3080037029778705,-0.7389641249530283,400.0
18,p8-D2,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.02880713626628773,0.010398228381086123,0.01553461171488804,0.026349560363964266,0.05528754294363242,-0.6976276928922611,-1.0662694631052783,400.0
19,p8-F4,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.031222043363653286,0.015351091465304677,0.012192229658644707,0.025607031675954194,0.06432525607303431,-0.39229172338276885,-1.3960648955956731,400.0
20,p4-G5,1.0,D,YPD+AA,YPD+AA-D,YPD+AA-D-1.0,0.04073542066247744,-0.05068485914525885,0.2015523329071648,-0.032337853181002185,0.04088909909293152,1.1248215881084345,2.5358329238876944,400.0
21,p4-C8,1.0,D,YPD,YPD-D,YPD-D-1.0,0.03986563117594916,0.028758526065516914,0.10499406147793239,0.03259570095757238,0.048842918736554615,0.3862718617451004,-0.6651093266498277,400.0
22,p7-A8,1.0,D,YPD(37C),YPD(37C)-D,YPD(37C)-D-1.0,0.0230771842197526,0.023698919036752766,-0.007767848320091794,-0.02466007013386201,0.0705457390334738,-0.07608819857206442,-1.567645226525196,400.0
23,p1-G8,1.0,D,YPD+AA,YPD+AA-D,YPD+AA-D-1.0,0.0492252135829761,0.025053621531840226,0.1665883770428217,-0.013318407792495504,0.05072652328375677,1.8266158107357722,0.20100229366754327,400.0
24,p1-G7,1.0,D,YPD,YPD-D,YPD-D-1.0,0.03335587051421367,0.013481065512098746,0.10758929937537792,0.032574083435314136,0.029613808805510317,-0.37580464415323944,0.11734130141627098,400.0
25,p1-F5,1.0,D,YPD,YPD-D,YPD-D-1.0,0.04131393081398989,0.010853552739226623,0.12283261537916543,0.012603841532648426,0.028283848838464028,0.29073684144603645,0.4959023221598459,400.0
26,p1-H6,1.0,D,YPD,YPD-D,YPD-D-1.0,0.039203702575671455,0.03141820645009711,0.09550024480700982,-0.0012165129043475115,0.05023186222685211,0.7630066322858619,-0.5983122357511678,400.0
27,p2-F6,1.0,D,YPD+AA,YPD+AA-D,YPD+AA-D-1.0,0.055087342468447986,0.03023920493997226,0.1763234876850419,-0.031711498105611524,0.07232600610296748,2.8416525051611443,-0.18398389062865014,400.0
28,p2-G8,1.0,D,YPD+AA,YPD+AA-D,YPD+AA-D-1.0,0.034508134212949876,-0.10129860778475194,0.16626844509128635,-0.0584024207979114,0.0006713690429627148,-0.2613376420628694,4.508622587045185,400.0
29,p6-A7,1.0,D,YPD,YPD-D,YPD-D-1.0,0.03816643479925404,0.03436203138517753,0.09543481106664752,0.02601257231100857,0.047506296056535544,0.34633470442691244,-0.7981112646091517,400.0
30,p1-B7,1.0,D,YPD+AA,YPD+AA-D,YPD+AA-D-1.0,0.04778733716337252,0.03356389849026645,0.16278962699208754,-0.006091443826312403,0.0483503139690434,1.6701144469993945,-0.02672431139783084,400.0
31,p2-C8,1.0,D,YPD,YPD-D,YPD-D-1.0,0.02757450835404817,0.007442436921884942,0.08831423391782217,0.026040420402485616,0.014009030666928598,-1.0350180971821619,0.48688165441450215,400.0
32,p7-E6,1.0,D,YPD(37C),YPD(37C)-D,YPD(37C)-D-1.0,0.02533399777026596,0.024024421553801124,-0.009267571324205151,-0.024799775875604804,0.06943879858276145,-0.0034118405743050056,-1.550697301632862,400.0
33,p2-G5,1.0,D,YPD+AA,YPD+AA-D,YPD+AA-D-1.0,0.03632974842526811,0.005860548444050332,0.15399091246333935,0.013561083255938591,0.02702358208579897,0.2160988041106725,0.8472570641958861,400.0
34,p6-C8,1.0,D,YPD,YPD-D,YPD-D-1.0,0.02900012057908298,0.011720633984433727,0.09958518982411244,0.03406977184383776,6.533624450346352e-05,-1.22154702155782,0.7404947383366133,400.0
35,p6-B6,1.0,D,YPD,YPD-D,YPD-D-1.0,0.035982944424768584,-0.009013254931504509,0.1025023594116059,-0.007047745692060248,0.005374776815446444,-0.44462974391003135,1.436249177498156,400.0
