,evocode,LP,ploidy,evoEnvt,evoEnvt-ploidy,evoEnvt-ploidy-LP,30-400,37-400,AA-400,RT-400,NaCl-400,principal component 1,principal component 2,Epoch
0,p8-F1,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.015789667388717288,0.013110857665268216,0.006077452683091568,0.0335893246414505,0.0361943754937263,-1.7311883079759078,-0.8166106731568661,400.0
1,p8-C2,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.01898328953296521,0.006448868597096789,0.015619742207751409,0.015116378972643903,0.04234693851253852,-1.2252819558729477,-0.6372863260348156,400.0
2,p7-D10,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.032468200582086,0.018745913130711063,0.0036919267071230757,0.06117366624234371,0.06529802307597958,-0.8213666171575043,-1.9538789152150917,400.0
3,p8-D1,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.01544415590509909,0.016476917282410134,0.003502287341867545,0.02548653211638563,0.03723981571097375,-1.6355490764247407,-0.8685771328621342,400.0
4,p8-C4,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.007678260334100794,0.007647349220009421,0.06525771397106621,0.015006762143123537,0.022336965446784783,-1.6490318735468608,0.2134351176284251,400.0
5,p8-D3,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.011635927763069657,0.0059785923670331795,0.00031099579529938684,0.01813235831090399,0.03462680762894034,-1.8505000426201443,-0.5370641037458446,400.0
6,p8-F2,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.0035872157059643078,0.0030132056578945745,-0.00941953106426978,0.029635698550198274,0.04523490310099738,-2.2925574267778717,-0.8870779159305872,400.0
7,p7-G12,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.04098622126981215,0.009191571148951859,0.026546715028388738,0.015037275176527712,0.06399827296250493,0.23932878509927735,-1.2295401920330638,400.0
8,p7-G10,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.02796982342401614,0.006500541444661808,0.004099859008111221,0.040234943361844015,0.06256102776869013,-0.8878267935652563,-1.452437293273889,400.0
9,p7-C10,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.015093051705616062,0.006075530868233965,0.007119731327502412,-0.002621866129323497,0.03119061210019612,-1.4386181401854086,-0.25185996658717735,400.0
10,p7-E12,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.0214447739453584,0.013881706803327431,0.001707469061139322,0.010901133507050948,0.055482109576559566,-0.9266793818869896,-1.200193431962789,400.0
11,p8-E3,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.018202226029235474,0.0140151217682411,0.04395426805556992,0.0043112808048507536,0.028756502847969205,-1.0698550236205355,-0.16903295817016128,400.0
12,p7-F9,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.026104873585516733,0.019888729699214517,-0.014340891052989668,0.035734864593215836,0.04193121841286752,-1.3168855268999637,-1.2824187584480897,400.0
13,p8-C3,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.015450144076764082,0.005054379351621075,0.013771585544986076,0.0038782871825363743,0.04687473881113557,-1.2066562532064824,-0.644109675728794,400.0
14,p8-E1,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.022029445095796484,0.00401774071265802,0.013408141583975828,0.01934494338362913,0.03295089669544963,-1.3132851905038274,-0.3958652609897717,400.0
15,p8-G1,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.026930684009664897,0.00621745245950509,0.002792094191747897,0.015369071499448538,0.04978148953410713,-0.8495036837412903,-0.9297858318585623,400.0
16,p8-G3,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.02377980576731089,0.022319383093723416,0.026305813459113744,0.10912872783606688,0.05965196268422687,-1.6831938210120527,-2.0820215840536505,400.0
17,p8-B2,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.0410310085635712,0.020491175819608826,0.10090936066377032,0.03317950936421272,0.06300720247208633,0.6793029838606167,-1.083817758596323,400.0
18,p8-D2,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.035394249641590964,0.006055680674325749,0.017787242198965717,0.02735339715118783,0.05661721276790591,-0.3724538234516277,-1.113618856730808,400.0
19,p8-F4,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.022434229925232127,0.01480929240215874,0.037329453581005895,0.01862469142914255,0.07342286572353238,-0.3973327492779307,-1.5091129344920429,400.0
20,p4-C8,1.0,D,YPD,YPD-D,YPD-D-1.0,0.04022709596849605,0.03242634086698662,0.10994821556501656,0.02410256443322931,0.0455514094089376,0.6199427784047148,-0.7490935646206119,400.0
21,p1-G8,1.0,D,YPD+AA,YPD+AA-D,YPD+AA-D-1.0,0.05086697575859811,0.023530916504742688,0.16118457611953665,-0.027833183325583155,0.052415663489650516,2.211506202204139,-0.02078191248828582,400.0
22,p1-G7,1.0,D,YPD,YPD-D,YPD-D-1.0,0.03271630761946638,0.01501248050929704,0.10758929937537792,0.033392617246558516,0.029146375769838563,-0.21438365610421872,-0.028932094116337133,400.0
23,p1-H6,1.0,D,YPD,YPD-D,YPD-D-1.0,0.0386981337668358,0.02750396598707685,0.09550024480700983,4.049244237841216e-06,0.050231862226852116,0.7653767067297255,-0.67522906012025,400.0
24,p2-G8,1.0,D,YPD+AA,YPD+AA-D,YPD+AA-D-1.0,0.03438524489203,-0.09937373847397764,0.1655164589702417,-0.03996351595581184,-0.007371922005098613,-0.004405328528706085,4.2694137442825815,400.0
25,p6-A7,1.0,D,YPD,YPD-D,YPD-D-1.0,0.03410984931942308,0.03511233066962629,0.09509437064486408,0.026012572311008567,0.04728105851263671,0.23427871699158287,-0.951607055083874,400.0
