,evocode,LP,ploidy,evoEnvt,evoEnvt-ploidy,evoEnvt-ploidy-LP,30-600,37-600,AA-600,RT-600,NaCl-600,principal component 1,principal component 2,Epoch
0,p8-F1,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.023669601490961263,0.017511417280930947,-0.015758319890588318,0.05455289247017206,0.0454968236351197,-1.8037618486062332,-1.7280629980115296,600.0
1,p8-C2,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.029134170620693713,0.020541070791585143,0.023707672128509157,0.013908667473273812,0.05923638245744413,-0.747664022659756,-1.1259566476807572,600.0
2,p7-D10,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.031196374912847682,0.02737032349930029,-0.011319925473913998,0.08100429982315879,0.0658875442789828,-1.051923722855559,-2.6546749311284055,600.0
3,p8-D1,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.01411814539781463,0.021790429260756836,0.01953298304575994,0.031792043039114884,0.028227819492483867,-2.191852941326752,-0.9343357782794572,600.0
4,p8-C4,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.02117520322227085,0.01346712470569569,0.08652271853238498,0.04333032668226747,0.039985463476787934,-1.3010813298139376,-0.7655086800886208,600.0
5,p8-D3,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.015979118241230453,0.013305218685837629,0.009132742990042284,0.005710922777314456,0.051875543656553655,-1.553960584738349,-0.7917170862130956,600.0
6,p8-F2,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.0166797720911096,0.012151140754848406,0.005945422690991771,0.03313983738953452,0.06288013798591804,-1.440676327281808,-1.404660114632394,600.0
7,p7-G12,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.03494564114812559,0.021322956988071046,0.09879234477429588,-0.0028195671421694032,0.06633919273583715,0.26296101694281787,-0.5500025872291489,600.0
8,p7-G10,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.04391797041621857,0.016947203610112267,0.01912971369405638,0.06524993138031307,0.06799926463091814,-0.293581228123982,-2.0903137978116226,600.0
9,p7-C10,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.03125191252583654,0.024857246827247097,0.01984474885643332,0.00393454277442258,0.07124899920158555,-0.3157931436117444,-1.2645300601709686,600.0
10,p7-E12,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.030585436173297918,0.02490542586552817,0.017686146130991606,0.04863188863737604,0.049225841981029264,-1.1219870482261811,-1.6507418288085594,600.0
11,p8-E3,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.008587081027138689,0.01902962110053093,0.0176908591712241,-0.017380577346945026,0.032007203564485324,-2.0905956665808505,-0.14537084043663343,600.0
12,p7-F9,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.026626726917315442,0.01815044073538616,-0.024883473848800585,0.04775648010272896,0.04826110257540133,-1.6433265106312038,-1.7370360834270497,600.0
13,p8-C3,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.028098978302502367,0.015576556959208404,0.012390525164943036,0.040025149713327705,0.052523211968677985,-1.2062645281072109,-1.4117432032847088,600.0
14,p8-E1,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.03116957190141272,0.017955896773017947,0.02309739986999701,0.013330271097019036,0.03377453699891935,-1.2995041802571152,-0.6781554489661795,600.0
15,p8-G1,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.02840651905769833,0.014838702068896047,0.002032501509995148,0.02316420475858074,0.05567305915086662,-1.1062446318024262,-1.2386129522543057,600.0
16,p8-G3,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.04503425803216896,0.027569167944889568,0.022493855473048475,0.1139359522759424,0.07477847418083516,-0.2383645627596585,-3.16432811790546,600.0
17,p8-B2,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.049494223408267986,0.02610478329170628,0.094285817995252,0.030649273090684194,0.0509315214964266,0.2926277976596588,-1.0057904364933106,600.0
