,evocode,LP,ploidy,evoEnvt,evoEnvt-ploidy,evoEnvt-ploidy-LP,30-600,37-600,AA-600,RT-600,NaCl-600,principal component 1,principal component 2,Epoch
0,p8-F1,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.021774668249763554,0.017065689813158102,-0.006117211982619241,0.048536028714149415,0.045571488536899935,-1.8563371684439562,-1.5520524081862013,600.0
1,p8-C2,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.028730272035309583,0.019754259049008772,0.02299544262004516,0.02800454781007187,0.05339842347470475,-1.0358760322934208,-1.2448905108613937,600.0
2,p7-D10,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.02976353125698635,0.027370323499300294,-0.00644666892332525,0.08605755851038073,0.061551611062657295,-1.3316907652678291,-2.7017318524603726,600.0
3,p8-D1,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.014388197101767777,0.023736668127193137,0.019303977786007852,0.03194613197159449,0.03202462400835397,-2.1355042038377103,-0.9981705370232796,600.0
4,p8-C4,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.02071939034204641,0.013951444703303301,0.10075913852319407,0.032932790914933556,0.040361735710412884,-1.1798072101547266,-0.5276123223560608,600.0
5,p8-D3,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.015618424599448063,0.013577663171669186,0.009164373371305443,0.01426643317811942,0.04386774038840291,-1.8331251742367802,-0.7576401950887464,600.0
6,p8-F2,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.020341245871092428,0.013567382731232284,0.0054439699237788675,0.027464670810713816,0.0671989068729231,-1.2004013194367404,-1.4193824472296044,600.0
7,p7-G12,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.037443129667035294,0.024429559879141326,0.0995158885056387,0.019205560423334295,0.06633919273583716,0.25325664782267876,-1.004609212464456,600.0
8,p7-G10,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.03231637182604983,0.015920897965084342,0.01652877184238558,0.06524993138031307,0.06502439759204508,-0.9300336428357079,-2.057249996487582,600.0
9,p7-C10,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.0317442756856534,0.02497476467187458,0.025220697473375464,0.00393454277442258,0.06599543850320021,-0.40760076235985415,-1.1459259746860326,600.0
10,p7-E12,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.02879637740713925,0.023164265607405938,0.017686146130991606,0.03687721763535982,0.051631866113823616,-1.1468782335558099,-1.464578525361951,600.0
11,p8-E3,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.009179834986754822,0.019162350046253905,0.018938522369892602,-0.023247136642970095,0.024342049616623552,-2.2026653407538404,0.18801452382143155,600.0
12,p7-F9,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.024391383850015907,0.02314867203187278,-0.01954110477855757,0.051882779585640505,0.044840574795474625,-1.8458200665689934,-1.8013505145009652,600.0
13,p8-C3,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.027512492852734327,0.015576556959208404,0.011108412144875754,0.033759490418276944,0.0510289862165524,-1.2919941408316333,-1.2842283215933636,600.0
14,p8-E1,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.027398007719481497,0.01870963713170894,0.023097399869997003,0.036407859516923914,0.04808634973298638,-1.2763789199901288,-1.2732297558770855,600.0
15,p8-G1,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.02581897884379132,0.015811523348998303,0.002449738180796893,0.024861784371765214,0.057082974299439385,-1.2163006055205734,-1.281956574392891,600.0
16,p8-G3,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.045034258032168956,0.030829591067557706,0.024318704932921785,0.12061620018465896,0.06791610380152915,-0.5579287603395047,-3.3517670037585034,600.0
17,p8-B2,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.033997262106383215,0.02610478329170628,0.10167387603507153,0.030649273090684194,0.05417407564515888,-0.22032827621223172,-1.0030367945074934,600.0
18,p8-D2,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.04089278623180281,0.025275385286826997,0.018399864244302438,0.01881109992596129,0.06803863199481412,-0.14178044855206434,-1.5124527976425686,600.0
19,p8-F4,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.035085123172501,0.024325407053054186,0.002930987128977101,0.05497773650437991,0.05941985873112052,-0.9273017873106136,-2.0363019078871267,600.0
20,p4-G5,1.0,D,YPD+AA,YPD+AA-D,YPD+AA-D-1.0,0.03677794024104174,-0.07226860783398194,0.1911421449867946,-0.04700245442583678,0.04411570540154691,0.09755798091547087,2.932101845148922,600.0
21,p4-C8,1.0,D,YPD,YPD-D,YPD-D-1.0,0.0452495680381357,0.02920131635349934,0.12799619869840995,0.031307589491103335,0.051356779980698306,0.36008916679309877,-0.9174721544736132,600.0
22,p7-A8,1.0,D,YPD(37C),YPD(37C)-D,YPD(37C)-D-1.0,0.022293269697507473,0.027284654885587213,0.030211646678119236,-0.02844308457443375,0.06800106571067631,-0.470040800300499,-0.6079092939914522,600.0
23,p1-G8,1.0,D,YPD+AA,YPD+AA-D,YPD+AA-D-1.0,0.05336366311397034,0.026031661466125657,0.15724227910467786,-0.02386375771259218,0.05701676582029246,1.3576098655654076,0.13444225254828185,600.0
24,p1-G7,1.0,D,YPD,YPD-D,YPD-D-1.0,0.039932099405913545,0.02150324349296292,0.12065653482463712,0.02589237717401861,0.04701874047813895,-0.02443672735327516,-0.6222011104524359,600.0
25,p1-F5,1.0,D,YPD,YPD-D,YPD-D-1.0,0.04531606723024725,0.012545501239237346,0.12003525477241508,0.0054009859101246385,0.04533292078005556,0.21169522530614374,-0.08691056215669274,600.0
26,p1-H6,1.0,D,YPD,YPD-D,YPD-D-1.0,0.04742398802039633,0.022936203299750782,0.12514085181919854,0.01639130096524905,0.053290510460135214,0.5237520419338033,-0.594271486195245,600.0
27,p2-F6,1.0,D,YPD+AA,YPD+AA-D,YPD+AA-D-1.0,0.05266222509642663,0.026842836244811864,0.17205398831650967,-0.03537204657443189,0.06985177162773577,1.8234339439923635,0.18359232282847537,600.0
28,p2-G8,1.0,D,YPD+AA,YPD+AA-D,YPD+AA-D-1.0,0.025341636737008965,-0.0867476466300496,0.15623280326209416,-0.05740402947111792,-0.013771194723927266,-2.022950175732907,4.2248161596443055,600.0
29,p6-A7,1.0,D,YPD,YPD-D,YPD-D-1.0,0.04339295397323079,0.03194234623248843,0.10376629131149577,0.014809037562911569,0.057197559123432426,0.37964706181934504,-0.9172547226641219,600.0
30,p1-B7,1.0,D,YPD+AA,YPD+AA-D,YPD+AA-D-1.0,0.04862372196556901,0.02927925208944081,0.16216820751045136,-0.021986000333484433,0.04828124804553008,1.0079327603521928,0.23126873344086094,600.0
31,p2-C8,1.0,D,YPD,YPD-D,YPD-D-1.0,0.02798761400818696,0.015253484234470885,0.09009962328512068,0.023504557885202046,0.028200747404418372,-1.1916752538913324,-0.26874749508914936,600.0
32,p7-E6,1.0,D,YPD(37C),YPD(37C)-D,YPD(37C)-D-1.0,0.025037461461631445,0.023229374536931458,0.02384601738963546,-0.023530347424151072,0.06643821835425182,-0.5053503323545477,-0.6313997481435877,600.0
33,p2-G5,1.0,D,YPD+AA,YPD+AA-D,YPD+AA-D-1.0,0.04733712545317105,0.005437271765134255,0.19264115889839967,-0.02425068360190734,0.059409133453605184,1.288872140549655,0.7252252544980141,600.0
34,p6-C8,1.0,D,YPD,YPD-D,YPD-D-1.0,0.03157946648752351,0.011967875849633925,0.11587135465231047,0.03267364164871543,0.008920550545446255,-1.410506098995033,0.09964557977519857,600.0
35,p6-B6,1.0,D,YPD,YPD-D,YPD-D-1.0,0.033546435129370805,0.004720845230547622,0.11712758179070208,-0.003758981669240108,0.01865668970863483,-0.90664638609324,0.7031837177451363,600.0
36,p4-H7,1.0,D,YPD+AA,YPD+AA-D,YPD+AA-D-1.0,0.05283211453101849,0.03016377843016102,0.1690431868629867,-0.031141850781442562,0.07141339970352578,1.842029075403366,0.0013876328735163994,600.0
37,p2-H7,1.0,D,YPD+AA,YPD+AA-D,YPD+AA-D-1.0,0.06961173248789168,0.06376607202189416,0.18374713877215607,0.03450332732674527,0.0779508687581971,2.5755446957490498,-1.874426678172938,600.0
38,p8-A8,1.0,D,YPD(37C),YPD(37C)-D,YPD(37C)-D-1.0,0.017651715057052028,0.022929578332657574,-0.00993135377658784,-0.019642507294443817,0.06384805033109574,-1.1263445811654371,-0.8132543502507132,600.0
39,p1-C8,1.0,D,YPD,YPD-D,YPD-D-1.0,0.05852400053844481,0.02694462704620506,0.1811908057110906,0.016111703444135803,0.06523575675806212,1.6768366719445602,-0.5940547202122161,600.0
40,p2-B6,1.0,D,YPD,YPD-D,YPD-D-1.0,0.042084804667819074,0.005953912578411566,0.12001019473586992,0.011399378590813136,0.04619041701017151,0.020009409450045347,-0.06423575657473732,600.0
41,p6-H7,1.0,D,YPD+AA,YPD+AA-D,YPD+AA-D-1.0,0.022272318282660956,-0.13288434743620098,0.16654316158440796,-0.021744870549245038,0.005861371557968826,-2.153980587004225,4.251966862567167,600.0
42,p4-G8,1.0,D,YPD+AA,YPD+AA-D,YPD+AA-D-1.0,0.046723178540047205,0.00035057163306229143,0.16742451336539782,-0.02182048458842783,0.030084055785563165,0.33046037969514686,1.143225891682225,600.0
43,p6-C6,1.0,D,YPD+AA,YPD+AA-D,YPD+AA-D-1.0,0.06816247293702929,0.03203041553797379,0.20939683479954352,-0.04528365490459639,0.08833411823095277,3.2428394451851137,0.0943603662068141,600.0
44,p4-E7,1.0,D,YPD,YPD-D,YPD-D-1.0,0.027988428934812563,0.008669124739462087,0.10289649830880047,0.010867626929158453,0.011159235990699264,-1.473141679011028,0.4406487074542306,600.0
45,p4-F6,1.0,D,YPD+AA,YPD+AA-D,YPD+AA-D-1.0,0.0621408261821601,0.03276613417541989,0.20293993032029106,-0.06453855342291777,0.08384053579202337,2.981848199575437,0.4720380948091819,600.0
46,p7-B7,1.0,D,YPD(37C),YPD(37C)-D,YPD(37C)-D-1.0,0.022903525007174415,0.014599575823414845,0.02903835619260836,-0.003583304165991525,0.033433840571804666,-1.5322873721987176,-0.20579427034548395,600.0
47,p6-D5,1.0,D,YPD+AA,YPD+AA-D,YPD+AA-D-1.0,0.0569452406655223,0.025860026129245685,0.17370246633772052,-0.036899855454254435,0.04839754991991181,1.4924949785709145,0.5894763103277528,600.0
48,p6-G8,1.0,D,YPD+AA,YPD+AA-D,YPD+AA-D-1.0,0.03842466059650257,-0.011790155968026749,0.1893660374987463,0.009558592443046302,0.035812835930099436,0.010472585645245194,0.8964871064385492,600.0
49,p2-C6,1.0,D,YPD+AA,YPD+AA-D,YPD+AA-D-1.0,0.0700895855685496,0.062018042589287836,0.2004807144972392,0.02378111321784394,0.07085857239490709,2.6009627708073135,-1.4420497226278461,600.0
50,p6-E7,1.0,D,YPD,YPD-D,YPD-D-1.0,0.060608951259693275,0.028054233293691444,0.18000361438561435,-0.015261302892728198,0.04821367913334197,1.5528322193286128,0.2001683916511392,600.0
51,p4-C6,1.0,D,YPD+AA,YPD+AA-D,YPD+AA-D-1.0,0.025310639799390786,-0.015198133889439405,0.1561335273794937,-0.0803502177242648,0.026811703919746493,-0.40158943268967656,2.5213582629320235,600.0
52,p8-C6,1.0,D,YPD(37C),YPD(37C)-D,YPD(37C)-D-1.0,0.01589681585109108,0.018466353041180716,0.022449114887598362,0.011024197066058089,0.05403976811483849,-1.4282239882528425,-0.8973986907434351,600.0
53,p2-A8,1.0,D,YPD+AA,YPD+AA-D,YPD+AA-D-1.0,0.03450990134269631,0.0010948905108796106,0.1847900841815711,0.009105885813462077,0.03744668040641242,-0.04348127195508255,0.6108801713013329,600.0
54,p8-C8,1.0,D,YPD(37C),YPD(37C)-D,YPD(37C)-D-1.0,0.004061560234505974,0.011620447856858394,0.009918423328397763,-0.007027469065763543,0.025333121626188546,-2.602288131137542,0.007027805909976673,600.0
55,p4-B6,1.0,D,YPD,YPD-D,YPD-D-1.0,0.05645033931840044,0.021835690505146332,0.1671078029989692,0.026752290428163857,0.0466251302202447,0.9441745955350371,-0.4317355157521119,600.0
56,p7-G7,1.0,D,YPD(37C),YPD(37C)-D,YPD(37C)-D-1.0,0.01045679171697312,0.018979715934915334,-0.0054108913098240285,-0.01961314010746861,0.037536448686131194,-2.0351552476252097,-0.23744960579705826,600.0
