YPD37,YPD37H,YPDAA,YPD,gen
1.48,0.2,1.3888888888888888,1.4583333333333333,0
1.48,0.4,1.648148148148148,1.4375,200
1.36,0.3,1.5555555555555556,1.3958333333333333,400
1.46,0.5,1.5370370370370368,1.3333333333333333,600
1.46,0.5,1.6851851851851851,1.5625,800
1.4,0.5,1.7407407407407407,1.1041666666666667,1000
1.68,0.9,1.6296296296296295,1.3958333333333333,0
1.08,0.65,1.5370370370370368,1.3958333333333333,200
1.58,1.1,1.7962962962962965,1.2916666666666667,400
1.78,0.6,1.5555555555555556,1.125,600
1.56,0.35,1.2592592592592593,1.5208333333333333,800
1.44,0.75,1.351851851851852,1.4583333333333333,1000
1.2,0.75,1.3333333333333333,1.5833333333333333,0
1.88,0.55,1.7962962962962965,1.2916666666666667,200
1.24,0.75,1.5370370370370368,1.3541666666666667,400
1.5,0.6,1.8333333333333333,1.5,600
1.56,0.8,1.6851851851851851,1.5625,800
1.42,0.85,1.5,1.6666666666666667,1000
1.46,0.7,1.5740740740740742,1.25,0
1.4,0.7,1.5740740740740742,1.5,200
1.58,0.45,1.7962962962962965,1.3958333333333333,400
1.36,0.85,1.7037037037037035,1.4375,600
1.3,0.55,1.5185185185185186,1.3958333333333333,800
1.5,0.95,1.4444444444444444,1.8125,1000
1.36,0.45,1.5555555555555556,1.5625,0
1.48,0.45,1.8333333333333333,1.4375,200
1.48,0.4,1.8148148148148149,1.1666666666666667,400
1.4,0.55,1.6851851851851851,1.625,600
1.4,0.85,1.7777777777777777,1.7291666666666667,800
1.32,0.55,1.8333333333333333,1.5625,1000
1.28,0.55,1.6851851851851851,1.5208333333333333,0
1.66,0.45,1.6111111111111112,1.4375,200
1.24,0.35,1.8148148148148149,1.8333333333333333,400
1.48,0.45,1.7407407407407407,1.6041666666666667,600
1.32,0.55,1.8333333333333333,1.7291666666666667,800
1.28,0.4,1.8888888888888888,1.625,1000
1.16,0.6,1.4814814814814814,1.25,0
1.28,0.6,1.6666666666666667,1.3541666666666667,200
1.3,0.45,1.5370370370370368,1.2916666666666667,400
1.34,0.6,1.3148148148148149,1.25,600
1.36,0.6,1.3148148148148149,1.4375,800
1.22,0.4,1.5,1.1666666666666667,1000
1.38,0.95,1.8888888888888888,1.6041666666666667,0
1.06,0.4,1.3703703703703705,1.0416666666666667,200
1.42,0.75,1.3333333333333333,1.5625,400
1.6,0.8,1.7777777777777777,1.3125,600
1.38,0.3,1.5555555555555556,1.2291666666666667,800
1.58,0.6,1.7777777777777777,1.4583333333333333,1000
1.26,0.55,1.2592592592592593,1.1041666666666667,0
1.28,0.35,1.2592592592592593,1.3541666666666667,200
1.3,0.5,1.7777777777777777,1.2291666666666667,400
1.48,1.1,1.648148148148148,1.5208333333333333,600
1.3,0.65,1.4814814814814814,1.3958333333333333,800
1.2,0.5,1.4259259259259258,1.2916666666666667,1000
1.0,0.65,1.7222222222222223,1.3541666666666667,0
1.24,0.65,1.5740740740740742,1.2083333333333333,200
1.36,0.95,1.2962962962962965,1.4583333333333333,400
1.28,0.5,1.5740740740740742,1.3333333333333333,600
1.26,0.5,1.5740740740740742,1.125,800
1.12,0.95,1.4444444444444444,1.2291666666666667,1000
1.24,0.65,1.5185185185185186,1.25,0
1.36,0.5,2.0185185185185186,1.3541666666666667,200
1.5,0.65,1.8703703703703705,1.1875,400
1.34,0.4,1.3333333333333333,1.2083333333333333,600
1.4,0.4,1.4814814814814814,1.1458333333333333,800
1.44,0.8,1.7777777777777777,0.9791666666666666,1000
1.44,0.4,1.648148148148148,1.3125,0
1.52,0.7,2.0,1.2708333333333333,200
1.66,0.55,1.6851851851851851,1.8333333333333333,400
1.44,0.65,1.5185185185185186,1.2083333333333333,600
1.48,0.7,1.7222222222222223,1.8958333333333333,800
1.32,0.7,1.2962962962962965,1.6875,1000
1.32,0.45,1.6296296296296295,1.2291666666666667,0
1.72,0.7,1.8148148148148149,1.4166666666666667,200
1.56,1.0,1.7407407407407407,1.6875,400
1.28,1.0,1.7592592592592593,1.4583333333333333,600
1.48,1.1,1.7592592592592593,1.5,800
1.8,0.75,1.6666666666666667,1.4166666666666667,1000
1.38,0.7,1.5925925925925926,1.6041666666666667,0
1.4,0.6,1.6666666666666667,1.3333333333333333,200
1.44,0.65,1.4444444444444444,1.1666666666666667,400
1.48,0.65,1.5370370370370368,1.3333333333333333,600
1.38,0.8,1.6851851851851851,1.5,800
1.4,0.75,1.7037037037037035,1.4375,1000
1.58,0.55,1.6851851851851851,1.3541666666666667,0
1.42,0.3,1.7592592592592593,1.2916666666666667,200
1.38,0.9,1.5555555555555556,1.5416666666666667,400
1.28,0.5,1.6111111111111112,1.4375,600
1.12,0.75,1.5740740740740742,1.6041666666666667,800
1.58,0.4,1.6111111111111112,1.5416666666666667,1000
1.32,1.2,1.4259259259259258,1.1875,0
1.8,0.85,1.7962962962962965,1.3958333333333333,200
1.54,0.85,1.5,1.2708333333333333,400
1.44,0.35,1.7407407407407407,1.25,600
1.52,0.35,1.6111111111111112,1.6666666666666667,800
1.44,0.25,1.7222222222222223,1.5,1000
1.66,1.0,1.4814814814814814,1.7083333333333333,0
1.22,0.85,1.9629629629629632,1.4583333333333333,200
1.46,0.55,1.4629629629629632,1.6041666666666667,400
1.82,0.6,1.8148148148148149,1.8125,600
1.88,0.95,1.6111111111111112,1.4375,800
1.98,0.75,1.3703703703703705,1.3958333333333333,1000
1.52,0.85,1.351851851851852,1.3333333333333333,0
1.42,0.7,1.7222222222222223,1.6458333333333333,200
1.28,0.7,1.6296296296296295,1.3333333333333333,400
1.26,0.7,1.5740740740740742,1.2916666666666667,600
1.38,0.8,1.7592592592592593,1.2708333333333333,800
1.36,0.5,1.2592592592592593,1.7083333333333333,1000
1.34,0.65,1.7037037037037035,1.4375,0
1.38,0.45,1.4814814814814814,1.4583333333333333,200
1.56,0.55,1.9259259259259256,1.4166666666666667,400
1.48,0.45,1.6296296296296295,1.1458333333333333,600
1.28,0.45,1.4259259259259258,1.1458333333333333,800
1.4,0.3,1.5555555555555556,1.625,1000
1.9,0.3,1.5925925925925926,1.3541666666666667,0
1.6,0.65,1.5185185185185186,1.1875,200
1.38,0.65,1.5740740740740742,1.375,400
1.36,0.4,1.3703703703703705,1.2083333333333333,600
1.34,0.2,1.4074074074074074,1.3958333333333333,800
1.52,0.7,1.9629629629629632,1.3541666666666667,1000
1.24,0.5,1.6111111111111112,1.3125,0
1.16,0.75,1.7222222222222223,1.1458333333333333,200
1.26,0.5,1.4444444444444444,1.25,400
1.5,0.5,1.4629629629629632,1.25,600
1.6,0.2,1.5,1.3333333333333333,800
1.4,0.25,1.2222222222222223,1.3958333333333333,1000
1.48,0.55,1.7407407407407407,1.4166666666666667,0
1.26,0.4,1.2777777777777777,1.3333333333333333,200
1.44,0.8,1.2777777777777777,1.4583333333333333,400
1.52,0.55,1.3703703703703705,1.2708333333333333,600
1.38,0.55,1.4074074074074074,1.375,800
1.32,0.4,1.4814814814814814,1.2916666666666667,1000
1.5,0.6,1.8148148148148149,1.5625,0
1.4,0.9,1.3148148148148149,0.9791666666666666,200
1.3,0.75,1.5185185185185186,1.5833333333333333,400
1.32,0.5,1.5925925925925926,1.625,600
1.48,0.7,1.4629629629629632,1.5416666666666667,800
1.42,0.35,1.5555555555555556,1.625,1000
1.54,0.75,1.5555555555555556,1.4791666666666667,0
1.36,0.6,1.7222222222222223,1.1666666666666667,200
1.36,0.5,1.5925925925925926,1.2708333333333333,400
1.74,0.5,1.5555555555555556,1.25,600
1.6,0.7,1.5,1.3125,800
1.52,0.65,1.4259259259259258,1.5416666666666667,1000
1.36,0.75,1.4074074074074074,1.3541666666666667,0
1.1,0.7,1.3333333333333333,1.375,200
1.82,0.95,1.8148148148148149,1.5208333333333333,400
1.48,0.75,1.9629629629629632,1.7291666666666667,600
1.42,0.7,1.5555555555555556,1.6041666666666667,800
1.48,0.7,1.6851851851851851,1.6666666666666667,1000
1.84,0.55,1.4259259259259258,1.6458333333333333,0
1.52,0.75,1.8333333333333333,1.2916666666666667,200
1.76,0.9,1.5,1.5208333333333333,400
1.7,0.7,1.3888888888888888,1.5208333333333333,600
1.36,0.55,1.4444444444444444,1.5208333333333333,800
1.44,0.95,1.4444444444444444,1.3125,1000
1.44,0.4,1.648148148148148,1.1041666666666667,0
1.18,0.45,1.7222222222222223,1.25,200
1.58,0.3,1.3888888888888888,1.3333333333333333,400
1.3,0.75,1.5740740740740742,1.5208333333333333,600
1.48,0.85,1.5555555555555556,1.4375,800
1.32,0.6,1.6296296296296295,1.2083333333333333,1000
1.64,0.25,1.3148148148148149,1.4791666666666667,0
1.44,0.75,1.2777777777777777,1.1458333333333333,200
1.3,0.75,1.648148148148148,1.4166666666666667,400
1.54,0.8,1.6851851851851851,1.6458333333333333,600
1.12,0.8,1.5,1.3333333333333333,800
1.16,0.95,1.3703703703703705,1.2708333333333333,1000
1.64,0.45,1.6666666666666667,1.6666666666666667,0
1.36,0.15,1.7592592592592593,1.7083333333333333,200
1.72,0.6,2.1296296296296298,1.375,400
1.28,0.5,1.5370370370370368,1.4791666666666667,600
1.44,0.4,1.9629629629629632,1.5416666666666667,800
1.8,0.7,1.6296296296296295,1.4791666666666667,1000
1.7,0.85,1.4259259259259258,1.1666666666666667,0
1.78,0.9,1.8888888888888888,1.5208333333333333,200
