,evocode,LP,ploidy,evoEnvt,evoEnvt-ploidy,evoEnvt-ploidy-LP,30-600,37-600,AA-600,RT-600,NaCl-600,principal component 1,principal component 2,Epoch
0,p8-F1,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.0224702397708198,0.017652682883393802,-0.007501095627917442,0.04278491042837225,0.04395907162313284,-1.7155626741175847,-1.454073873233562,600.0
1,p8-C2,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.028730272035309583,0.019491139219252804,0.021592662292756123,0.03797095212974226,0.05339842347470475,-1.004678116878331,-1.418916990161937,600.0
2,p7-D10,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.02801006011745611,0.027279860630450046,-0.00991831512861126,0.08283429111120855,0.0560196769881663,-1.397891062614378,-2.491298138386216,600.0
3,p8-D1,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.01669178069665845,0.023736668127193137,0.023421342845148668,0.0303432341551074,0.03128204018985737,-1.9092208552882437,-0.9347572791585212,600.0
4,p8-C4,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.02384123900675685,0.016129829476686012,0.06946999176398158,0.038448089901193014,0.04444449328035036,-1.1146893272457061,-0.8914377427420715,600.0
5,p8-D3,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.018278014352772768,0.01061612522678567,0.01223835305194336,0.009447116008025476,0.042627086775807926,-1.6299607975070656,-0.6558787067358597,600.0
6,p8-F2,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.025019346342673342,0.01292270562682753,0.003096551395926895,0.020838001996567438,0.06900730535513286,-0.8541157156255929,-1.424358284960978,600.0
7,p7-G12,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.03959120363911156,0.02826400099313332,0.09915437758846964,0.017511971521092292,0.06408720745075137,0.39604398947082536,-1.0006131554941975,600.0
8,p7-G10,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.034791313209586484,0.016172564833804758,0.016632904581621862,0.06796972948483856,0.06851840544231208,-0.6522842155735312,-2.1406244519875006,600.0
9,p7-C10,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.03500781415037668,0.02231247308089809,0.023552426043853058,0.0012515415688181019,0.05955959906183779,-0.35060791759600457,-1.021515481368477,600.0
10,p7-E12,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.02984314698235089,0.020512487212152056,0.01415547811797474,0.04863188863737604,0.05463748031908459,-1.039162460110763,-1.67308564230266,600.0
11,p8-E3,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.009212498907281395,0.019455874006786836,0.017271020688943366,-0.023247136642970092,0.024342049616623552,-2.1148208124120695,0.07342332005348522,600.0
