,evocode,LP,ploidy,evoEnvt,evoEnvt-ploidy,evoEnvt-ploidy-LP,30-0,37-0,AA-0,RT-0,NaCl-0,30-200,37-200,AA-200,RT-200,NaCl-200,30-400,37-400,AA-400,RT-400,NaCl-400,30-600,37-600,AA-600,RT-600,NaCl-600,30-800,37-800,AA-800,RT-800,NaCl-800,30-1000,37-1000,AA-1000,RT-1000,NaCl-1000,principal component 1,principal component 2,Epoch
0,p8-F1,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,-0.00607308911494934,-5.636916293993164e-05,-0.005744007359244555,0.01336629997297984,0.005887511419485428,0.002240419652420002,-0.00038731807120737376,0.0007846820092875951,0.019760534213531442,0.015891596198865873,0.011252175274587994,0.011767333543921614,0.004497799737024969,0.03711030808711056,0.03531126906970822,0.0224702397708198,0.017511417280930947,-0.011058488248469668,0.0540214015296811,0.043538201539478114,0.024255753093679687,0.02867140315688143,-0.0206556819934614,0.052477241890791504,0.04603052036350988,0.02319983693390984,0.025236310000132604,-0.024536580488614918,0.043197328803833576,0.054254193776937416,-5.08031672198315,-0.8361734902517267,all
1,p8-C2,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.0013880545235951216,-0.0004844363574529122,0.0059846074580200545,0.005135063476838126,0.0045813585439386795,0.011198474663598705,0.007789413430518172,0.00020175110064222764,0.02196097231429198,0.02359636025962036,0.0230935037745106,0.0071391794366165015,0.015619742207751409,0.02479956730007573,0.0504767461224982,0.02910790970351572,0.02200593717234714,0.02139050737107652,0.02988115739078192,0.05825146911403393,0.02127439479669315,0.02044033108628665,0.032598308695745766,0.02811782422479752,0.039188538978978164,0.0344440732968294,0.0238884382642717,0.04451899657150202,0.036240603192199385,0.047027937343681575,-3.249674156345725,-0.9437219140240177,all
2,p7-D10,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,-0.0011788423621016527,-0.00046957876557210686,-0.0044391691072809825,0.002051378197541111,0.012907975880876742,0.02100081908302097,0.006187510331156989,0.0037917972641738243,0.014834537592818369,0.05743366827610225,0.03295305688360112,0.021434808841436448,0.0052554875486968185,0.0589631380145656,0.0708746469169303,0.031196374912847682,0.024111876603895133,-0.0043766330633419745,0.0874508346215032,0.06155161106265729,0.02391831386217995,0.033807396391775386,-0.00807962584656741,0.10593893827321438,0.06388324693146749,0.024671642668225826,0.03173823741249239,-0.00338807908836547,0.09411486927457972,0.07370343060973288,-4.073182284286463,-3.595384627790294,all
3,p8-D1,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.0013277653159139815,-0.002019314261566112,-0.007117594412459155,0.008212146016531858,0.0028296558878082665,0.007305120277543768,0.01153793652386708,-0.002621907317169855,0.013675278893391771,0.0024620815110479263,0.014297723034540062,0.02030446003385307,0.004509908238533061,0.02532267710050111,0.03170201755039636,0.014684898672337325,0.02248090516904321,0.022405041420778437,0.031067638597111136,0.04002007768492534,0.023575003122147574,0.029158474350037038,0.012777277477878258,0.06189038658265799,0.035171593805596764,0.029413020067857717,0.03622118640512803,0.026036339261818642,0.11301980067570365,0.046968615561464366,-4.625732543086579,-1.0056831910913842,all
4,p8-C4,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,-0.0008390189243887153,-0.005598562979952364,0.0014033486530248547,0.007368799819666124,0.002901043910746805,0.0051673464548262354,0.004230433322206678,0.009053197645649477,0.003684172313802528,0.01838844577937111,0.006247504662132496,0.008565283997473576,0.06065390533006474,0.015718692209886597,0.017757979181712014,0.020691379970295132,0.01346712470569569,0.08409341024485356,0.031098694219009917,0.04073800794403785,0.023537392058410544,0.02482301488228602,0.0555622245482474,0.04769205198830677,0.054700190910526914,0.03521320238289743,0.03062787401318558,0.03134621546882013,0.05050483825720745,0.052247697143018586,-3.3745066142310978,-0.26235206445925213,all
5,p8-D3,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,-0.003050058838357419,-0.00041838201733738925,-0.01615810248898961,-0.0032342434091823685,0.004550598176176106,0.004668216427942632,0.0005496873784464464,-0.00800941289856688,0.01692756045926191,0.019453440527136656,0.009603982993878794,0.005106861914103054,0.0016604923484727745,0.020117279735340648,0.021145943869908243,0.01888246452689724,0.009725811104463928,0.005967064100029798,0.02418672130359995,0.04555197607691791,0.01286466090356542,0.028694218049604918,0.021661129387521277,0.02692715184879063,0.03819156356787506,0.025809007373320373,0.03503262110794296,0.031024785257617343,0.060218956644322426,0.027688722723292317,-4.706419022841512,0.16542248998993928,all
6,p8-F2,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,-0.004013078963565583,0.001954051545511121,0.0008954082695255047,0.010707451691513268,0.0054104051813448325,-0.00803994314811705,0.00743949000156583,0.006798313218065065,0.00610337405823981,0.024198800007507428,0.017456312690580792,0.0060802835662490794,0.005066308842688506,0.024477777790170758,0.045124248388951634,0.02782228116440128,0.011506463650443648,0.004537853328364878,0.018976596929548027,0.06679481141943229,0.025382203818014024,0.0348673702579539,0.020322915249836367,0.07469413250349369,0.0886351965012705,0.040283311077633575,0.041328178540912384,0.030945590391487525,0.10286484025436776,0.11448928018846542,-3.510229115972205,-2.982916633767102,all
7,p7-G12,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.004837206334613328,0.0062199674758392064,-0.01060539592702338,0.006493329683710792,0.011816443740476294,0.014082919994744716,0.007300381609147609,0.0013393882836452038,-0.0005194888740283092,0.04397244799043976,0.033983376751646865,0.01775462044781801,0.02654671502838873,0.023057555676259445,0.06483398153745228,0.03744312966703529,0.028700066946232637,0.09958192460919628,0.006649637148659203,0.0682731919002037,0.028900156657859912,0.03535420461285925,0.1037841620507903,0.0286471256645654,0.05733122640899239,0.034383536849643764,0.03292504635885972,0.10386721034005704,0.006968863139119756,0.063498699232393,-1.4911143062681445,-2.0921069114722926,all
8,p7-G10,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,-0.007960641034265172,-0.0014909792743848466,-0.009831064239047841,0.01744533327264804,-0.006870846458441781,0.012030716775380305,-0.002229201015346627,0.010294110413366376,-0.0008315171979788352,0.0442333513599929,0.024538155001147498,0.006522974517001445,0.006190790313184794,0.04450154463516065,0.058825323638040376,0.034791313209586484,0.015920897965084342,0.013927829990714772,0.06524993138031307,0.06606962688588823,0.02660944978535026,0.02600813012178557,0.016006466949115734,0.07895534102170221,0.0825217094148477,0.06839770525813055,0.046010996681253136,0.0502528702571733,0.0907510338750668,0.12035776137624347,-2.7071814504606357,-3.5519059088607814,all
9,p7-C10,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,-0.010302446291350487,0.002142410332394617,-0.007309391300373808,0.0030298125905973802,0.0028428848990989853,0.0009750060164535662,0.0008930592474312216,-0.004497169161645714,0.018376441457846324,0.01046419503319252,0.019633408362017338,0.01114902316480063,0.007119731327502412,-0.0034334036566750488,0.023502237847964347,0.027328670221576826,0.027519538418223587,0.025373860259080297,0.016483372486454737,0.0657907276431968,0.03315506661017577,0.02804030958320151,0.01850897135686895,0.011804663121422995,0.07169926909696471,0.02957035950187643,0.03314578481672216,0.021936305877543243,0.022420252129300718,0.07824176364559204,-3.004712622241367,-1.2116712437037422,all
