,evocode,LP,ploidy,evoEnvt,evoEnvt-ploidy,evoEnvt-ploidy-LP,30-1000,37-1000,AA-1000,RT-1000,NaCl-1000,principal component 1,principal component 2,Epoch
0,p8-F1,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.0264162161556192,0.026207831716652526,-0.020230154101676025,0.04777993811941384,0.05585573475302128,-2.3182039565001786,-1.1188119583624325,1000.0
1,p8-C2,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.024048864536188846,0.018584629898708842,0.04451843747926114,0.03984337880545659,0.05544795156778237,-1.859317054029374,-0.5653175182335559,1000.0
2,p7-D10,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.028460383570139056,0.03251224183430948,-0.005514777562873909,0.09498395411123656,0.07252090497578965,-2.0832507458201484,-2.1115167352039084,1000.0
3,p8-D1,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.03330791428988851,0.03647296171664319,0.022920131322418,0.1120667096575396,0.04906126404099584,-2.3523329960157096,-1.9648656700143505,1000.0
4,p8-C4,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.03314887682254014,0.02730794612822141,0.026702480634857074,0.05159593462833025,0.05444992232664216,-1.784365748534857,-1.0660218762529605,1000.0
5,p8-D3,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.02143022606765276,0.03119327127764225,0.0339580893445566,0.053257441761860175,0.027103148050951768,-2.759265924916863,-0.5307508087183377,1000.0
6,p8-F2,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.04088942614098328,0.04224623151042894,0.03288411454905686,0.10537896011346223,0.09833062894217576,-0.8362252741789307,-2.8914479027055964,1000.0
7,p7-G12,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.030557182650496114,0.03923578098016362,0.10510745299602793,0.033731043201435953,0.06494235776148255,-0.8843708087236769,-0.9233072807572297,1000.0
8,p7-G10,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.05832792641891538,0.046012375955885115,0.0501019760569909,0.08915238609735694,0.1176007421290892,0.45062467231770076,-3.236443398089488,1000.0
9,p7-C10,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.05056015605003252,0.03398620524853343,0.022796011301875196,0.029374041687258018,0.08012514721105883,-0.46918374115947054,-1.5862863027523928,1000.0
10,p7-E12,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.023133929639293317,0.03309013237136478,0.02119994501683296,0.04489271236308158,0.05365158380988953,-2.1309534946944573,-0.9848780349974077,1000.0
11,p8-E3,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.017393039367070425,0.02742095094339912,0.024019395227273848,-0.024913043594176502,0.04152041611223328,-2.0901198175664835,0.3241909741715536,1000.0
12,p7-F9,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.03134185887930957,0.0407198098189223,-0.0074819296363743655,0.10370195609992956,0.047699746270053855,-2.6208333307762604,-2.018070237807905,1000.0
13,p8-C3,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.006629999865626247,0.026096217217097283,0.02326241831974377,0.08967813651335743,0.04143225456448845,-3.2832272691328996,-0.9965993594675794,1000.0
14,p8-E1,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.02648035774285181,0.02288793599126776,0.02392549311311843,-0.004385598366921557,0.046643705044543016,-1.8166470454569827,-0.045780158495170926,1000.0
15,p8-G1,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.044089984941205564,0.026024396205793388,0.036168137022122585,0.05060619953715509,0.08468978258620276,-0.6420971855855897,-1.6383238293607358,1000.0
16,p8-G3,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.04003341577250858,0.03846270833902359,-0.004821347138848542,0.09195056735895307,0.07088266298069032,-1.6934015611790332,-2.309929550903734,1000.0
17,p8-B2,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.07692822507431676,0.06396350480216044,0.12596554063255033,0.0502303245800296,0.11845694228720535,1.9881623727428537,-3.056741964947805,1000.0
18,p8-D2,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.0366483842242134,0.03521445740469478,0.019942389663677076,0.02118843536218965,0.07414989577832795,-1.0408752173695257,-1.2437874315858066,1000.0
19,p8-F4,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.034145591380189584,0.024053011711653742,0.02029256578209788,0.06006088175235979,0.05614591630530123,-1.8255265955536648,-1.1734374892361041,1000.0
20,p4-G5,1.0,D,YPD+AA,YPD+AA-D,YPD+AA-D-1.0,0.030687683229791686,-0.06331573690901737,0.19719441701044066,-0.07481077903903595,0.051695667592485256,0.1841045255630983,3.2169984802268154,1000.0
21,p4-C8,1.0,D,YPD,YPD-D,YPD-D-1.0,0.050796834445234695,0.036284008377544516,0.14140634650715198,0.04064275371773448,0.052202840150808436,-0.2598059899363786,-0.8419484885647652,1000.0
